116HG	Prader-Willi Syndrome
AL353588.1	Alzheimer's Disease
AL353595.1	Alzheimer's Disease
AL353604.1	Alzheimer's Disease
AL354854.1	Autism Spectrum Disorder
AL355592.1	Epilepsy
AL355773.1	Parkinson's Disease
AL355862.1	Autism Spectrum Disorder
AL356094.1	Stroke
AL356094.2	Stroke
AL356157.1	Parkinson's Disease
AL356234.2	Multiple Sclerosis
AL356807.1	Stroke
AL356966.1	Alzheimer's Disease
AL358875.1	Alzheimer's Disease
AL359502.1	Parkinson's Disease
AL359546.1	Multiple Sclerosis
AL359987.1	Amyotrophic Lateral Sclerosis
AL391117.1	Autism Spectrum Disorder
AL391704.1	Alzheimer's Disease
AL392086.3	Autism Spectrum Disorder
AL445426.1	Stroke
AL445433.2	Alzheimer's Disease
AL451123.1	Amyotrophic Lateral Sclerosis
AL512328.1	Alzheimer's Disease
AL512634.1	Amyotrophic Lateral Sclerosis
AL512782.1	Alzheimer's Disease
AL589684.1	Alzheimer's Disease
AL589739.1	Alzheimer's Disease
AL589740.1	Autism Spectrum Disorder
AL590635.1	Alzheimer's Disease
AL590807.1	Alzheimer's Disease
AL590814.2	Alzheimer's Disease
AL591122.1	Amyotrophic Lateral Sclerosis
AL591518.1	Alzheimer's Disease
AL591888.1	Autism Spectrum Disorder
AL606519.1	Stroke
AL645933.5	Autism Spectrum Disorder
AL645941.2	Autism Spectrum Disorder
AL645944.1	Autism Spectrum Disorder
AL662789.1	Autism Spectrum Disorder
AL662844.2	Autism Spectrum Disorder
AL671277.1	Autism Spectrum Disorder
AL772161.2	Stroke
AL833059	Glioma
AL844908.5	Alzheimer's Disease
AL928742.9	Alzheimer's Disease
ALAS1	Autism Spectrum Disorder, Parkinson's Disease
ALCAM	Alzheimer's Disease
ALDH16A1	Alzheimer's Disease
ALDH1A1	Glioma
ALDH1A2	Stroke
ALDH1A3	Glioma
ALDH1L1	Multiple Sclerosis
ALDH2	Intracranial Aneurysm, Stroke
ALDH4A1	Alzheimer's Disease
ALDH7A1	Epilepsy
ALDOA	Autism Spectrum Disorder
ALG13	Epilepsy
ALKBH3	Alzheimer's Disease
ALKBH5	Glioma
ALOX12-AS1	Alzheimer's Disease
ALOX5AP	Stroke
ALPK1	Alzheimer's Disease
ALPK2	Alzheimer's Disease, Multiple Sclerosis
ALPK3	Alzheimer's Disease, Autism Spectrum Disorder
ALX4	Alzheimer's Disease
AMACR	Epilepsy
AMBRA1	Autism Spectrum Disorder
AMELY	Autism Spectrum Disorder
AMPB	Glioma
AMPD1	Autism Spectrum Disorder
ANAPC5	Autism Spectrum Disorder
ANGPT4	Intracranial Aneurysm
ANGPTL4	Glioma
ANK1	Alzheimer's Disease
ANK2	Parkinson's Disease, Stroke
ANK3	Autism Spectrum Disorder
ANKFY1	Alzheimer's Disease
ANKLE2	Alzheimer's Disease
ANKRD11	Alzheimer's Disease
ANKRD20A5P	Alzheimer's Disease
ANKRD27	Alzheimer's Disease
ANKRD29	Amyotrophic Lateral Sclerosis
ANKRD30B	Alzheimer's Disease
ANKRD31	Alzheimer's Disease
ANKRD33B	Alzheimer's Disease
ANKRD36BP2	Multiple Sclerosis
ANKRD44	Autism Spectrum Disorder
ANKRD44-IT1	Autism Spectrum Disorder
ANKRD49	Alzheimer's Disease
ANKRD55	Alzheimer's Disease, Multiple Sclerosis
ANKS1B	Amyotrophic Lateral Sclerosis, Autism Spectrum Disorder
ANO2	Parkinson's Disease
ANO4	Alzheimer's Disease
ANO5	Autism Spectrum Disorder, Muscular Dystrophy, Parkinson's Disease
ANO7	Neuroblastoma
ANP32A	Alzheimer's Disease
ANPEP	Alzheimer's Disease
anti-NOS2A	Glioma, Meningioma
ANTXR1	Alzheimer's Disease
ANXA1	Glioma, Parkinson's Disease
ANXA9	Neuroblastoma
AP000439.2	Alzheimer's Disease
AP000474.2	Autism Spectrum Disorder
AP000553.8	Amyotrophic Lateral Sclerosis
AP000787.1	Alzheimer's Disease
AP000820.2	Multiple Sclerosis
AP000842.2	Alzheimer's Disease
AP000892.4	Alzheimer's Disease
AP000961.1	Autism Spectrum Disorder
AP001021.1	Alzheimer's Disease
AP001021.2	Alzheimer's Disease
AP001021.3	Alzheimer's Disease
AP001058.3	Alzheimer's Disease
AP001267.5	Autism Spectrum Disorder
AP001347.1	Stroke
AP001407.1	Stroke
AP001790.1	Alzheimer's Disease
AP001830.2	Narcolepsy
AP002755.1	Glioma
AP003062.2	Amyotrophic Lateral Sclerosis
AP003121.1	Amyotrophic Lateral Sclerosis
AP003400.1	Amyotrophic Lateral Sclerosis
AP003464.1	Autism Spectrum Disorder
AP005262.1	Alzheimer's Disease
AP1S2	Hydrocephalus, Intellectual Disability
AP1S2P1	Alzheimer's Disease
AP2A2	Alzheimer's Disease
AP4B1	Cerebral Palsy, Intellectual Disability
AP4E1	Cerebral Palsy, Intellectual Disability
AP4M1	Alzheimer's Disease, Cerebral Palsy, Intellectual Disability
AP4S1	Intellectual Disability
AP5B1	Autism Spectrum Disorder
APBA1	Alzheimer's Disease, Friedreich Ataxia
APBA2	Alzheimer's Disease
APBA3	Alzheimer's Disease
APBB1	Alzheimer's Disease
APBB3	Alzheimer's Disease
APC2	Intellectual Disability
APEX1	Glioma
APH1B	Alzheimer's Disease
API5	Alzheimer's Disease
APLF	Multiple Sclerosis, Restless legs Syndrome
APLP1	Alzheimer's Disease
APLP2	Alzheimer's Disease
APNG	Glioma
APOA2	Alzheimer's Disease
APOA5	Multiple Sclerosis
APOBEC1	Alzheimer's Disease
APOC1	Alzheimer's Disease
APOC1P1	Alzheimer's Disease
APOC2	Alzheimer's Disease
APOC4	Alzheimer's Disease
APOE	Alzheimer's Disease, Gaucher Disease, Parkinson's Disease
APOM	Autism Spectrum Disorder
APP	Alzheimer's Disease
APPL2	Alzheimer's Disease
APTR	Glioma
APTX	Amyotrophic Lateral Sclerosis
AQP10	Parkinson's Disease
AQP1	Glioma
AQP3	Neuroblastoma
AQP4	Glioma
AQP9	Glioma
ARAP2	Amyotrophic Lateral Sclerosis
ARC	Epilepsy
ARFGAP2	Autism Spectrum Disorder
ARFGEF2	Dystonia
ARHGAP11B	Epilepsy
ARHGAP1	Autism Spectrum Disorder
ARHGAP20	Alzheimer's Disease
ARHGAP24	Neuroblastoma
ARHGAP26	Multiple Sclerosis
ARHGAP27	Parkinson's Disease
ARHGAP32	Intracranial Aneurysm
ARHGAP45	Alzheimer's Disease
ARHGEF10	Epilepsy, Multiple Sclerosis
ARHGEF11	Autism Spectrum Disorder
ARHGEF2	Amyotrophic Lateral Sclerosis
ARHGEF3	Multiple Sclerosis
ARHGEF40	Neuroblastoma
ARHGEF5	Glioma
ARHGEF9	Epilepsy, Intellectual Disability
ARID1A	Glioma
ARID1B	Alzheimer's Disease, Glioma
ARID2	Glioma
ARL11	Multiple Sclerosis
ARL13B	Glioma
ARL3	Autism Spectrum Disorder
ARL5B	Autism Spectrum Disorder
ARL6IP4	Autism Spectrum Disorder
ARNT2	Autism Spectrum Disorder
ARRDC4	Alzheimer's Disease
ARSA	Hydrocephalus
ARTN	Autism Spectrum Disorder
ARVCF	Alzheimer's Disease
ARX	Agenesis Corpus Callosum, Autism Spectrum Disorder, Epilepsy
AS3MT	Autism Spectrum Disorder
ASAP1	Autism Spectrum Disorder, Multiple Sclerosis
ASAP2	Multiple Sclerosis
ASB1	Amyotrophic Lateral Sclerosis
ASB3	Stroke
ASCL1	Glioma
ASF1A	Multiple Sclerosis
ASGR2	Alzheimer's Disease
ASIC2	Autism Spectrum Disorder
ASIC4	Dystonia
ASIP	Alzheimer's Disease
ASNS	Epilepsy, Intellectual Disability
ASPHD1	Autism Spectrum Disorder
ASTE1	Restless legs Syndrome
AS Uchl1	Parkinson's Disease
ASXL2	Intellectual Disability
ASXL3	Intellectual Disability, Parkinson's Disease
ATAT1	Autism Spectrum Disorder
ATB	Glioma
ATCAY	Dystonia
ATF1	Multiple Sclerosis
ATF3	Glioma
ATF5	Glioma
ATF6B	Autism Spectrum Disorder
ATF6	Parkinson's Disease
ATG13	Autism Spectrum Disorder
ATG16L2	Alzheimer's Disease
ATG4B	Glioma
ATIC	Epilepsy
ATM	Alzheimer's Disease
ATN1	Epilepsy
ATP13A2	Parkinson's Disease
ATP1A3	Alternating Hemiplegia of Childhood, Dystonia
ATP2A1	Epilepsy
ATP2A2	Epilepsy
ATP2B1	Intracranial Aneurysm
ATP2B2	Autism Spectrum Disorder, Von Hippel-Lindau Syndrome
ATP2C1	Restless legs Syndrome
ATP5F1C	Alzheimer's Disease
ATP5MC1	Batten Disease
ATP5MC2	Batten Disease
ATP5MC3	Batten Disease
ATP5MFP3	Alzheimer's Disease
ATP5MJ	Autism Spectrum Disorder
ATP5MK	Autism Spectrum Disorder
ATP5PD	Alzheimer's Disease
ATP5PF	Alzheimer's Disease
ATP6AP1	Down Syndrome
ATP6AP2	Intellectual Disability
ATP6V0B	Autism Spectrum Disorder
ATP6V0C	Autism Spectrum Disorder
ATP6V1B2	Alzheimer's Disease
ATP6V1G2	Autism Spectrum Disorder
ATP6V1G2-DDX39B	Autism Spectrum Disorder
ATP6V1G3	Multiple Sclerosis
ATP8A2P3	Alzheimer's Disease
ATP9B	Alzheimer's Disease
ATRNL1	Autism Spectrum Disorder
ATRX	Alpha-Thalassemia X-Linked Intellectual Disability Syndrome, Glioma
ATXN1	Amyotrophic Lateral Sclerosis, Multiple Sclerosis
ATXN1L	Autism Spectrum Disorder
ATXN2	Stroke
ATXN3	Amyotrophic Lateral Sclerosis
ATXN7L1	Alzheimer's Disease
ATXN7L3B	Spinocerebellar Ataxia
ATXN8OS	Spinocerebellar Ataxia
AUH	Coma, Dystonia
AUTS2	Autism Spectrum Disorder
AVIL	Glioma
AVPR1A	Autism Spectrum Disorder
AXDND1	Multiple Sclerosis
AZIN1-AS1	Alzheimer's Disease
B2M	Glioma
B3GALT1-AS1	Alzheimer's Disease
B3GALT4	Alzheimer's Disease, Autism Spectrum Disorder
B3GAT1	Neuroblastoma
B3GLCT	Hydrocephalus
B3GNT5	Alzheimer's Disease
